Sex,Age_group,Housing,Purpose,Risk_per_purpose,Credit amount,Duration,Financial_profile,Saving accounts,Checking account,Job_type,Duration_estimated,Checking_score,Saving_score,Duration_score,Job_score,Risk_per_purpose_score,Internal_Risk_Score,PD_internal,Decision_credito,Score_version
male,36-45,own,radio/TV,alto riesgo,2299,36,quite rich / No_tiene,quite rich,,cualificado,31-36,1.0,0.25,0.43527528164806206,0.3,1.0,2.985275281648062,0.583661358017482,Revision manual,Credit_risk_v1
female,0-25,rent,car,bajo riesgo,1352,6,quite rich / little,quite rich,little,desempleado,0-6,0.75,0.25,0.050697028491100485,1.0,0.0,2.0506970284911006,0.40093877435341874,Aprobado automatico,Credit_risk_v1
male,36-45,own,car,bajo riesgo,7228,11,little / No_tiene,little,,no cualificado,7-12,1.0,0.75,0.10492336888023829,0.6,0.0,3.4549233688802383,0.675483858297227,Rechazado,Credit_risk_v1
female,26-35,own,radio/TV,alto riesgo,2073,12,moderate / No_tiene,moderate,,cualificado,7-12,1.0,0.5,0.11647118646192987,0.3,1.0,2.91647118646193,0.5702092345632819,Revision manual,Credit_risk_v1
male,26-35,own,furniture/equipment,alto riesgo,2333,24,No_tiene / moderate,,moderate,no cualificado,19-24,0.5,1.0,0.26758052058674353,0.6,1.0,4.367580520586744,0.8539205726076444,Rechazado,Credit_risk_v1
male,26-35,own,car,bajo riesgo,5965,27,little / moderate,little,moderate,muy cualificado,25-30,0.5,0.75,0.30820346803447984,0.0,0.0,2.55820346803448,0.5001630902908683,Revision manual,Credit_risk_v1
male,0-25,own,radio/TV,alto riesgo,1262,12,little / No_tiene,little,,cualificado,7-12,1.0,0.75,0.11647118646192987,0.3,1.0,3.16647118646193,0.6190875877260147,Revision manual,Credit_risk_v1
male,26-35,own,car,bajo riesgo,3378,18,No_tiene / No_tiene,,,cualificado,13-18,1.0,1.0,0.18946457081379978,0.3,0.0,3.4894645708137997,0.6822371265643226,Rechazado,Credit_risk_v1
male,56-65,free,car,bajo riesgo,2225,36,little / moderate,little,moderate,cualificado,31-36,0.5,0.75,0.43527528164806206,0.3,0.0,1.985275281648062,0.388147945366551,Aprobado automatico,Credit_risk_v1
male,26-35,own,car,bajo riesgo,783,6,No_tiene / No_tiene,,,no cualificado,0-6,1.0,1.0,0.050697028491100485,0.6,0.0,2.6506970284911007,0.5182468219439774,Revision manual,Credit_risk_v1
male,46-55,own,radio/TV,alto riesgo,6468,12,No_tiene / moderate,,moderate,muy cualificado,7-12,0.5,1.0,0.11647118646192987,0.0,1.0,3.61647118646193,0.7070686234189336,Rechazado,Credit_risk_v1
female,26-35,own,radio/TV,alto riesgo,9566,36,little / No_tiene,little,,cualificado,31-36,1.0,0.75,0.43527528164806206,0.3,1.0,4.485275281648062,0.8769314769938786,Rechazado,Credit_risk_v1
female,0-25,own,car,bajo riesgo,1961,18,little / rich,little,rich,muy cualificado,13-18,0.0,0.75,0.18946457081379978,0.0,0.0,0.9394645708137997,0.1836779243044483,Aprobado automatico,Credit_risk_v1
female,0-25,rent,furniture/equipment,alto riesgo,6229,36,little / little,little,little,no cualificado,31-36,0.75,0.75,0.43527528164806206,0.6,1.0,4.535275281648062,0.8867071476264252,Rechazado,Credit_risk_v1
male,26-35,own,business,bajo riesgo,1391,9,little / moderate,little,moderate,cualificado,7-12,0.5,0.75,0.0824692444233059,0.3,0.0,1.632469244423306,0.3191696330248875,Aprobado automatico,Credit_risk_v1
male,46-55,own,radio/TV,alto riesgo,1537,15,No_tiene / moderate,,moderate,cualificado,13-18,0.5,1.0,0.1522335991272839,0.3,1.0,2.952233599127284,0.5772012659081162,Revision manual,Credit_risk_v1
male,56-65,free,business,bajo riesgo,1953,36,little / moderate,little,moderate,muy cualificado,31-36,0.5,0.75,0.43527528164806206,0.0,0.0,1.685275281648062,0.32949392157127166,Aprobado automatico,Credit_risk_v1
male,0-25,own,business,bajo riesgo,14421,48,little / moderate,little,moderate,cualificado,43-48,0.5,0.75,0.6147386076544852,0.3,0.0,3.164738607654485,0.6187488453306843,Revision manual,Credit_risk_v1
female,26-35,own,radio/TV,alto riesgo,3181,24,little / No_tiene,little,,cualificado,19-24,1.0,0.75,0.26758052058674353,0.3,1.0,4.317580520586743,0.8441449019750977,Rechazado,Credit_risk_v1
male,46-55,own,repairs,bajo riesgo,5190,27,No_tiene / No_tiene,,,cualificado,25-30,1.0,1.0,0.30820346803447984,0.3,0.0,3.6082034680344797,0.7054521735743459,Rechazado,Credit_risk_v1
female,26-35,own,radio/TV,alto riesgo,2171,12,little / No_tiene,little,,cualificado,7-12,1.0,0.75,0.11647118646192987,0.3,1.0,3.16647118646193,0.6190875877260147,Revision manual,Credit_risk_v1
male,0-25,own,car,bajo riesgo,1007,12,rich / moderate,rich,moderate,cualificado,7-12,0.5,0.0,0.11647118646192987,0.3,0.0,0.9164711864619299,0.1791824092614197,Aprobado automatico,Credit_risk_v1
male,36-45,free,education,bajo riesgo,1819,36,little / No_tiene,little,,cualificado,31-36,1.0,0.75,0.43527528164806206,0.3,0.0,2.485275281648062,0.48590465169201646,Aprobado automatico,Credit_risk_v1
female,0-25,own,radio/TV,alto riesgo,2394,36,No_tiene / No_tiene,,,cualificado,31-36,1.0,1.0,0.43527528164806206,0.3,1.0,4.735275281648062,0.9258098301566114,Rechazado,Credit_risk_v1
female,26-35,own,car,bajo riesgo,8133,36,little / No_tiene,little,,cualificado,31-36,1.0,0.75,0.43527528164806206,0.3,0.0,3.485275281648062,0.6814180643429476,Rechazado,Credit_risk_v1
male,46-55,rent,radio/TV,alto riesgo,730,7,No_tiene / No_tiene,,,no cualificado,7-12,1.0,1.0,0.060998429322433954,0.6,1.0,3.6609984293224342,0.7157742966265276,Rechazado,Credit_risk_v1
male,46-55,free,vacation/others,alto riesgo,1164,8,little / little,little,little,muy cualificado,7-12,0.75,0.75,0.0715993349974727,0.0,1.0,2.571599334997473,0.5027821619562208,Revision manual,Credit_risk_v1
female,36-45,own,business,bajo riesgo,5954,42,little / moderate,little,moderate,no cualificado,37-42,0.5,0.75,0.5237211981383231,0.6,0.0,3.3737211981383233,0.6596077447808116,Rechazado,Credit_risk_v1
male,36-45,own,education,bajo riesgo,1977,36,No_tiene / little,,little,muy cualificado,31-36,0.75,1.0,0.43527528164806206,0.0,0.0,2.185275281648062,0.4272506278967372,Aprobado automatico,Credit_risk_v1
male,66+,free,car,bajo riesgo,1526,12,little / little,little,little,muy cualificado,7-12,0.75,0.75,0.11647118646192987,0.0,0.0,1.6164711864619299,0.31604179811707145,Aprobado automatico,Credit_risk_v1
male,26-35,own,radio/TV,alto riesgo,3965,42,little / little,little,little,cualificado,37-42,0.75,0.75,0.5237211981383231,0.3,1.0,4.323721198138323,0.845345486799196,Rechazado,Credit_risk_v1
male,46-55,own,radio/TV,alto riesgo,4771,11,little / moderate,little,moderate,cualificado,7-12,0.5,0.75,0.10492336888023829,0.3,1.0,3.654923368880238,0.7145865408274131,Rechazado,Credit_risk_v1
male,36-45,own,car,bajo riesgo,9436,54,No_tiene / No_tiene,,,no cualificado,49-54,1.0,1.0,0.7080656334711765,0.6,0.0,4.308065633471176,0.8422846139241449,Rechazado,Credit_risk_v1
male,0-25,own,furniture/equipment,alto riesgo,3832,30,little / moderate,little,moderate,cualificado,25-30,0.5,0.75,0.34974096978557817,0.3,1.0,3.899740969785578,0.7624516654574299,Rechazado,Credit_risk_v1
female,36-45,own,radio/TV,alto riesgo,5943,24,No_tiene / No_tiene,,,cualificado,19-24,1.0,1.0,0.26758052058674353,0.3,1.0,4.567580520586743,0.8930232551378305,Rechazado,Credit_risk_v1
male,46-55,own,radio/TV,alto riesgo,1213,15,quite rich / No_tiene,quite rich,,cualificado,13-18,1.0,0.25,0.1522335991272839,0.3,1.0,2.702233599127284,0.5283229127453833,Revision manual,Credit_risk_v1
female,0-25,rent,business,bajo riesgo,1568,18,moderate / No_tiene,moderate,,no cualificado,13-18,1.0,0.5,0.18946457081379978,0.6,0.0,2.2894645708138,0.4476210313832053,Aprobado automatico,Credit_risk_v1
female,56-65,own,vacation/others,alto riesgo,1755,24,little / little,little,little,no cualificado,19-24,0.75,0.75,0.26758052058674353,0.6,1.0,3.3675805205867437,0.6584071599567133,Rechazado,Credit_risk_v1
male,46-55,own,radio/TV,alto riesgo,2315,10,little / little,little,little,no cualificado,7-12,0.75,0.75,0.09358387076573756,0.6,1.0,3.1935838707657376,0.6243884811603794,Revision manual,Credit_risk_v1
female,26-35,own,business,bajo riesgo,1412,12,little / No_tiene,little,,muy cualificado,7-12,1.0,0.75,0.11647118646192987,0.0,0.0,1.8664711864619299,0.3649201512798042,Aprobado automatico,Credit_risk_v1
female,26-35,own,furniture/equipment,alto riesgo,1295,18,little / moderate,little,moderate,cualificado,13-18,0.5,0.75,0.18946457081379978,0.3,1.0,2.7394645708137997,0.5356020670761242,Revision manual,Credit_risk_v1
male,46-55,free,education,bajo riesgo,12612,36,moderate / moderate,moderate,moderate,cualificado,31-36,0.5,0.5,0.43527528164806206,0.3,0.0,2.735275281648062,0.5347830048547493,Revision manual,Credit_risk_v1
male,26-35,own,car,bajo riesgo,2249,18,moderate / little,moderate,little,muy cualificado,13-18,0.75,0.5,0.18946457081379978,0.0,0.0,1.4394645708137999,0.28143463062991386,Aprobado automatico,Credit_risk_v1
male,26-35,own,repairs,bajo riesgo,1108,12,little / little,little,little,cualificado,7-12,0.75,0.75,0.11647118646192987,0.3,0.0,1.91647118646193,0.3746958219123508,Aprobado automatico,Credit_risk_v1
male,56-65,own,radio/TV,alto riesgo,618,12,little / No_tiene,little,,cualificado,7-12,1.0,0.75,0.11647118646192987,0.3,1.0,3.16647118646193,0.6190875877260147,Revision manual,Credit_risk_v1
male,46-55,own,car,bajo riesgo,1409,12,little / little,little,little,cualificado,7-12,0.75,0.75,0.11647118646192987,0.3,0.0,1.91647118646193,0.3746958219123508,Aprobado automatico,Credit_risk_v1
female,26-35,own,radio/TV,alto riesgo,797,12,No_tiene / No_tiene,,,no cualificado,7-12,1.0,1.0,0.11647118646192987,0.6,1.0,3.71647118646193,0.7266199646840268,Rechazado,Credit_risk_v1
male,0-25,rent,furniture/equipment,alto riesgo,3617,24,No_tiene / rich,,rich,cualificado,19-24,0.0,1.0,0.26758052058674353,0.3,1.0,3.5675805205867435,0.6975098424868995,Rechazado,Credit_risk_v1
male,46-55,own,car,bajo riesgo,1318,12,rich / moderate,rich,moderate,cualificado,7-12,0.5,0.0,0.11647118646192987,0.3,0.0,0.9164711864619299,0.1791824092614197,Aprobado automatico,Credit_risk_v1
male,56-65,rent,business,bajo riesgo,15945,54,little / moderate,little,moderate,cualificado,49-54,0.5,0.75,0.7080656334711765,0.3,0.0,3.258065633471176,0.6369955306406673,Revision manual,Credit_risk_v1
female,56-65,own,education,bajo riesgo,2012,12,No_tiene / No_tiene,,,cualificado,7-12,1.0,1.0,0.11647118646192987,0.3,0.0,2.41647118646193,0.4724525282378163,Aprobado automatico,Credit_risk_v1
male,26-35,own,business,bajo riesgo,2622,18,moderate / moderate,moderate,moderate,cualificado,13-18,0.5,0.5,0.18946457081379978,0.3,0.0,2.4894645708137997,0.4867237139133915,Aprobado automatico,Credit_risk_v1
male,36-45,own,radio/TV,alto riesgo,2337,36,little / moderate,little,moderate,cualificado,31-36,0.5,0.75,0.43527528164806206,0.3,1.0,3.985275281648062,0.7791747706684131,Rechazado,Credit_risk_v1
male,36-45,rent,car,bajo riesgo,7057,20,No_tiene / moderate,,moderate,muy cualificado,19-24,0.5,1.0,0.2149992768057157,0.0,0.0,2.714999276805716,0.5308187739530954,Revision manual,Credit_risk_v1
male,36-45,rent,car,bajo riesgo,1469,24,moderate / No_tiene,moderate,,no cualificado,19-24,1.0,0.5,0.26758052058674353,0.6,0.0,2.3675805205867437,0.46289374730578225,Aprobado automatico,Credit_risk_v1
male,0-25,rent,radio/TV,alto riesgo,2323,36,little / moderate,little,moderate,cualificado,31-36,0.5,0.75,0.43527528164806206,0.3,1.0,3.985275281648062,0.7791747706684131,Rechazado,Credit_risk_v1
female,0-25,own,radio/TV,alto riesgo,932,6,little / No_tiene,little,,cualificado,0-6,1.0,0.75,0.050697028491100485,0.3,1.0,3.1006970284911004,0.6062278576368964,Revision manual,Credit_risk_v1
male,26-35,rent,furniture/equipment,alto riesgo,1919,9,little / moderate,little,moderate,cualificado,7-12,0.5,0.75,0.0824692444233059,0.3,1.0,2.632469244423306,0.5146830456758186,Revision manual,Credit_risk_v1
male,26-35,rent,car,bajo riesgo,2445,12,No_tiene / No_tiene,,,cualificado,7-12,1.0,1.0,0.11647118646192987,0.3,0.0,3.41647118646193,0.6679659408887474,Rechazado,Credit_risk_v1
male,36-45,own,vacation/others,alto riesgo,11938,24,little / moderate,little,moderate,muy cualificado,19-24,0.5,0.75,0.26758052058674353,0.0,1.0,3.5175805205867436,0.6877341718543529,Rechazado,Credit_risk_v1
male,36-45,own,car,bajo riesgo,6458,18,little / No_tiene,little,,muy cualificado,13-18,1.0,0.75,0.18946457081379978,0.0,0.0,2.9394645708138,0.5747047496063105,Revision manual,Credit_risk_v1
male,26-35,own,car,bajo riesgo,6078,12,little / moderate,little,moderate,cualificado,7-12,0.5,0.75,0.11647118646192987,0.3,0.0,2.66647118646193,0.5213308814005491,Revision manual,Credit_risk_v1
female,26-35,own,furniture/equipment,alto riesgo,7721,24,No_tiene / little,,little,cualificado,19-24,0.75,1.0,0.26758052058674353,0.3,1.0,4.317580520586743,0.8441449019750977,Rechazado,Credit_risk_v1
male,26-35,own,business,bajo riesgo,1410,14,quite rich / moderate,quite rich,moderate,cualificado,13-18,0.5,0.25,0.14013759084016558,0.3,0.0,1.1901375908401657,0.23268786190931828,Aprobado automatico,Credit_risk_v1
male,26-35,own,business,bajo riesgo,1449,6,moderate / moderate,moderate,moderate,cualificado,0-6,0.5,0.5,0.050697028491100485,0.3,0.0,1.3506970284911006,0.264079385497767,Aprobado automatico,Credit_risk_v1
female,0-25,rent,education,bajo riesgo,392,15,little / rich,little,rich,cualificado,13-18,0.0,0.75,0.1522335991272839,0.3,0.0,1.202233599127284,0.23505279376898672,Aprobado automatico,Credit_risk_v1
male,26-35,rent,car,bajo riesgo,6260,18,little / moderate,little,moderate,no cualificado,13-18,0.5,0.75,0.18946457081379978,0.6,0.0,3.0394645708138,0.5942560908714036,Revision manual,Credit_risk_v1
female,0-25,own,car,bajo riesgo,7855,36,little / No_tiene,little,,cualificado,31-36,1.0,0.75,0.43527528164806206,0.3,0.0,3.485275281648062,0.6814180643429476,Rechazado,Credit_risk_v1
male,26-35,own,radio/TV,alto riesgo,1680,12,quite rich / little,quite rich,little,cualificado,7-12,0.75,0.25,0.11647118646192987,0.3,1.0,2.41647118646193,0.4724525282378163,Aprobado automatico,Credit_risk_v1
male,46-55,own,radio/TV,alto riesgo,3578,48,No_tiene / No_tiene,,,cualificado,43-48,1.0,1.0,0.6147386076544852,0.3,1.0,4.914738607654485,0.9608973174698138,Rechazado,Credit_risk_v1
female,26-35,own,radio/TV,alto riesgo,7174,42,No_tiene / little,,little,muy cualificado,37-42,0.75,1.0,0.5237211981383231,0.0,1.0,4.273721198138324,0.8355698161666496,Rechazado,Credit_risk_v1
female,26-35,rent,furniture/equipment,alto riesgo,2132,10,No_tiene / little,,little,cualificado,7-12,0.75,1.0,0.09358387076573756,0.3,1.0,3.1435838707657373,0.6146128105278328,Revision manual,Credit_risk_v1
female,0-25,own,furniture/equipment,alto riesgo,4281,33,quite rich / little,quite rich,little,cualificado,31-36,0.75,0.25,0.39211886070841423,0.3,1.0,3.692118860708414,0.7218587583699697,Rechazado,Credit_risk_v1
male,36-45,own,car,bajo riesgo,2366,12,quite rich / moderate,quite rich,moderate,muy cualificado,7-12,0.5,0.25,0.11647118646192987,0.0,0.0,1.8664711864619299,0.3649201512798042,Aprobado automatico,Credit_risk_v1
female,0-25,own,radio/TV,alto riesgo,1835,21,little / little,little,little,cualificado,19-24,0.75,0.75,0.22796289202471912,0.3,1.0,3.027962892024719,0.5920073584001355,Revision manual,Credit_risk_v1
female,36-45,rent,car,bajo riesgo,3868,24,little / No_tiene,little,,muy cualificado,19-24,1.0,0.75,0.26758052058674353,0.0,0.0,3.0175805205867436,0.5899774655288874,Revision manual,Credit_risk_v1
male,0-25,rent,furniture/equipment,alto riesgo,1768,12,little / No_tiene,little,,no cualificado,7-12,1.0,0.75,0.11647118646192987,0.6,1.0,3.4664711864619298,0.677741611521294,Rechazado,Credit_risk_v1
male,56-65,free,car,bajo riesgo,781,10,little / rich,little,rich,cualificado,7-12,0.0,0.75,0.09358387076573756,0.3,0.0,1.1435838707657375,0.22358598522597067,Aprobado automatico,Credit_risk_v1
female,26-35,rent,furniture/equipment,alto riesgo,1924,18,No_tiene / moderate,,moderate,cualificado,13-18,0.5,1.0,0.18946457081379978,0.3,1.0,2.9894645708137997,0.584480420238857,Revision manual,Credit_risk_v1
male,26-35,own,car,bajo riesgo,2121,12,little / little,little,little,cualificado,7-12,0.75,0.75,0.11647118646192987,0.3,0.0,1.91647118646193,0.3746958219123508,Aprobado automatico,Credit_risk_v1
male,36-45,own,radio/TV,alto riesgo,701,12,little / little,little,little,no cualificado,7-12,0.75,0.75,0.11647118646192987,0.6,1.0,3.2164711864619298,0.6288632583585612,Revision manual,Credit_risk_v1
male,26-35,own,repairs,bajo riesgo,639,12,little / moderate,little,moderate,cualificado,7-12,0.5,0.75,0.11647118646192987,0.3,0.0,1.66647118646193,0.32581746874961803,Aprobado automatico,Credit_risk_v1
male,26-35,own,car,bajo riesgo,1860,12,little / moderate,little,moderate,muy cualificado,7-12,0.5,0.75,0.11647118646192987,0.0,0.0,1.3664711864619299,0.2671634449543387,Aprobado automatico,Credit_risk_v1
